,FP,FN,acc
MLP product,1.6339869281045765,1.288659793814432,98.5
MLP nothing,0.0,0.5154639175257785,99.8
LSTM product,2.7777777777777715,3.0927835051546424,97.1
LSTM nothing,0.1633986928104605,0.5154639175257785,99.7
CNN product,1.9607843137254832,1.5463917525773212,98.2
CNN nothing,4.901960784313729,0.7731958762886535,96.7
LSTMFCN product,2.941176470588232,3.3505154639175316,96.9
LSTMFCN nothing,0.0,0.0,100.0
